Dates;EUR006M Index;EUSA1 Curncy;EUSA2 Curncy;EUSA3 Curncy;EUSA4 Curncy;EUSA5 Curncy;EUSA7 Curncy;EUSA10 Curncy;EUSA12 Curncy;EUSA15 Curncy;EUSA20 Curncy;EUSA25 Curncy;EUSA30 Curncy
31/12/2020;-0,526;-0,529;-0,521;-0,506;-0,485;-0,459;-0,389;-0,2605;-0,1765;-0,0755;0,006;0,0055;-0,0225
29/01/2021;-0,531;-0,541;-0,5393;-0,519;-0,4837;-0,4427;-0,346;-0,188;-0,0907;0,022;0,1198;0,1357;0,119
26/02/2021;-0,516;-0,496;-0,4642;-0,4193;-0,3623;-0,2977;-0,1618;0,033;0,146;0,27;0,366;0,3802;0,3583
31/03/2021;-0,509;-0,5152;-0,4972;-0,4518;-0,3887;-0,3142;-0,1563;0,069;0,195;0,341;0,4635;0,4927;0,4827
30/04/2021;-0,521;-0,5128;-0,4785;-0,4168;-0,343;-0,263;-0,095;0,137;0,2663;0,411;0,534;0,561;0,55
31/05/2021;-0,513;-0,5068;-0,4686;-0,4078;-0,337;-0,2613;-0,1013;0,1209;0,2439;0,3839;0,5003;0,5231;0,5103
30/06/2021;-0,515;-0,5049;-0,4583;-0,3965;-0,3277;-0,2566;-0,1097;0,1002;0,2206;0,3591;0,4742;0,4948;0,4752
30/07/2021;-0,523;-0,5206;-0,4942;-0,4551;-0,4122;-0,3633;-0,2528;-0,0711;0,04;0,1695;0,274;0,288;0,2599
31/08/2021;-0,522;-0,5157;-0,4803;-0,4348;-0,3864;-0,3312;-0,2132;-0,028;0,082;0,212;0,316;0,3298;0,303
30/09/2021;-0,528;-0,5022;-0,4292;-0,3512;-0,2721;-0,1927;-0,0421;0,163;0,2705;0,398;0,4995;0,5125;0,482
29/10/2021;-0,527;-0,4425;-0,2236;-0,0751;-0,0145;0,0425;0,14;0,2835;0,344;0,4023;0,4113;0,365;0,29
30/11/2021;-0,538;-0,4954;-0,3601;-0,2424;-0,1788;-0,1223;-0,0253;0,135;0,2153;0,2963;0,33;0,295;0,2303
31/12/2021;-0,546;-0,484;-0,2958;-0,147;-0,051;0,017;0,129;0,301;0,395;0,49;0,545;0,522;0,476
31/01/2022;-0,514;-0,408;-0,116;0,073;0,172;0,235;0,326;0,4603;0,53;0,5985;0,617;0,571;0,505
28/02/2022;-0,493;-0,361;0,026;0,2544;0,3805;0,4595;0,606;0,79;0,8898;0,9533;0,922;0,858;0,783
31/03/2022;-0,367;-0,0874;0,535;0,798;0,9182;0,984;1,0698;1,1953;1,2543;1,2917;1,23;1,125;1,019
29/04/2022;-0,226;0,261;0,9712;1,2297;1,355;1,433;1,556;1,7205;1,8016;1,8485;1,772;1,627;1,488
31/05/2022;-0,045;0,4774;1,0795;1,2917;1,416;1,5029;1,649;1,8489;1,9345;1,999;1,943;1,832;1,727
30/06/2022;0,263;0,8446;1,3642;1,549;1,678;1,791;1,957;2,165;2,275;2,348;2,265;2,117;1,984
29/07/2022;0,653;0,957;1,124;1,189;1,255;1,338;1,465;1,646;1,744;1,8105;1,757;1,627;1,518
31/08/2022;1,203;1,845;2,179;2,21;2,234;2,261;2,316;2,4158;2,467;2,4865;2,375;2,1975;2,052
30/09/2022;1,809;2,486;2,8238;2,894;2,934;2,966;3,011;3,075;3,099;3,066;2,8815;2,603;2,398
31/10/2022;2,13;2,6425;2,877;2,9075;2,9148;2,9332;2,963;3,0315;3,0728;3,067;2,879;2,6665;2,4997
30/11/2022;2,414;2,8011;2,858;2,767;2,697;2,658;2,6267;2,6559;2,673;2,6512;2,463;2,262;2,084
30/12/2022;2,693;3,2787;3,395;3,311;3,258;3,239;3,2015;3,2028;3,197;3,142;2,9306;2,711;2,533
31/01/2023;2,988;3,3664;3,292;3,116;3,002;2,938;2,8785;2,875;2,88;2,854;2,7032;2,51;2,351
28/02/2023;3,29;3,7218;3,775;3,6112;3,4697;3,3742;3,2717;3,23;3,2335;3,2088;3,0488;2,8725;2,708
31/03/2023;3,341;3,5748;3,417;3,244;3,1205;3,045;2,9722;2,958;2,9695;2,9575;2,821;2,646;2,495
28/04/2023;3,645;3,78;3,4767;3,246;3,1175;3,0535;2,9905;2,9895;3,006;3,0052;2,882;2,719;2,579
31/05/2023;3,746;3,8394;3,5027;3,2578;3,108;3,024;2,9587;2,9525;2,966;2,967;2,852;2,723;2,598
